Church Name,City,State,Size,Denomination
Connection Pointe Christian Church,Brownsburg,IN,3546,CHRISTIAN
CopperPointe Church,Albuquerque,NM,2000,"Independent, Nondenominational"
Coral Ridge Presbyterian Church,Fort Lauderdale,FL,1900,Presbyterian Church of America
Cornerstone Assembly of God,Madison,TN,4024,Assemblies of God
Cornerstone Chapel,Leesburg,VA,3250,Unknown (unspecified)
Cornerstone Christian Fellowship,Chandler,AZ,6000,"Independent, Nondenominational"
Cornerstone Church,Fresno,CA,3000,Assemblies of God
Cornerstone Church,San Antonio,TX,5400,"Independent, Nondenominational"
Cornerstone Church,Toledo,OH,4000,"Independent, Nondenominational"
Cornerstone Church,Ames,IA,2200,Southern Baptist Convention
Cornerstone Community Church,Wildomar,CA,3200,"Independent, Nondenominational"
Cornerstone Community Church,Simi Valley,CA,5000,"Independent, Nondenominational"
Cornerstone Community Church,Orangeburg,SC,2000,Unknown (unspecified)
Cornerstone Evangelical Presbyterian,Brighton,MI,1800,Evangelical Presbyterian Church
Cornerstone Fellowship,Livermore,CA,5000,"Independent, Nondenominational"
Cornerstone United Methodist Church,Caledonia,MI,2000,Unknown (unspecified)
Cornwall Church,Bellingham,WA,2300,"Church of God, Anderson"
Cottonwood Christian Center,Los Alamitos,CA,7000,"Independent, Nondenominational"
Cottonwood Creek Baptist Church,Allen,TX,2100,Southern Baptist Convention
Council Road Baptist Church,Bethany,OK,2300,Southern Baptist Convention
Countryside Christian Center,Clearwater,FL,2000,"Independent, Nondenominational"
Covenant Church,Carrollton,TX,7000,"Independent, Nondenominational"
Covenant Church of Pittsburgh,Pittsburgh,PA,2000,"Independent, Nondenominational"
Covenant Life,Gathersburg,MD,3300,"Independent, Nondenominational"
Covenant Love Church,Fayetteville,NC,2000,"Independent, Nondenominational"
Covenant United Methodist Church,Winterville,NC,1825,United Methodist Church
Covina Assembly of God,Covina,CA,2000,Assemblies of God
Crenshaw Christian Center,Los Angeles,CA,3000,"Church of God, Anderson"
Cristo Mi Redentor,West Palm Beach,FL,3000,Pentecostal (unspecified)
Cross Church,Springdale,AR,8808,Southern Baptist Convention
Cross Point Church,Nashville,TN,5027,"Independent, Nondenominational"
Cross Timbers Community Church,Argyle,TX,4600,"Independent, Nondenominational"
Cross Word Christian Church,Riverside,CA,2000,"Independent, Nondenominational"
Crossgates Baptist Church,Brandon,MS,2286,Southern Baptist Convention
Crossings Community Church,Oklahoma City,OK,5500,"Independent, Nondenominational"
CrossPoint Community Church,Modesto,CA,2000,Baptist (unspecified)
Crosspointe Church of Cary,Cary,NC,2046,CHRISTIAN
Crossroads Baptist Church,Newnan,GA,2607,Southern Baptist Convention
Crossroads Bible Church,Bellevue,WA,2100,Baptist General Conference
Crossroads Cathedral,Oklahoma City,OK,2500,Assemblies of God
Crossroads Christian Church,Evansville,IN,3550,CHRISTIAN
Crossroads Christian Church,Lexington,KY,2570,"Independent, Nondenominational"
Crossroads Christian Church,Corona,CA,8375,CHRISTIAN
Crossroads Christian Church,Grand Prairie,TX,4167,CHRISTIAN
Crossroads Church,Red Deer County,AB,2000,Unknown (unspecified)
Crossroads Church,Loveland,CO,2000,Unknown (unspecified)
Crossroads Church,Lafayette,LA,2400,Assemblies of God
Crossroads Church,Grass Valley,CA,2500,Unknown (unspecified)
Crossroads Church,Cincinnati,OH,35253,"Independent, Nondenominational"
Crossroads Church,Woodbury,MN,2200,"Independent, Nondenominational"
Crossroads Church of Denver,Wheat Ridge,CO,4500,Unknown (unspecified)
Crossroads Community Cathedral,E. Hartford,CT,2000,Assemblies of God
Crossroads Community Church,Vallejo,CA,2100,Four Square
Crossroads Community Church,Freeport,IL,2953,Assemblies of God
Crossroads Community Church,Mansfield,OH,5500,"Independent, Nondenominational"
Crossroads Community Church,Kokomo,IN,2700,Unknown (unspecified)
Crossroads Community Church,Vancouver,WA,4000,Unknown (unspecified)
Crossroads Fellowship Church,Raleigh,NC,3500,"Independent, Nondenominational"
Crossroads Grace Community Church,Manteca,CA,1800,"Independent, Nondenominational"
Cummings Street Missionary Baptist,Memphis,TN,3000,Baptist (unspecified)
Cuyahoga Valley Community Church,Broadview Heights,OH,2000,Unknown (unspecified)
Cypress Wesleyan Church,Galloway,OH,3200,Wesleyan
Dallas Bay Baptist Church,Hixson,TN,2500,Southern Baptist Convention
Dawson Memorial Baptist Church,Birmingham,AL,2700,Southern Baptist Convention
Daystar Church,Cullman,AL,2000,"Church of God, Cleveland"
Daystar Family Church,Northport,AL,2200,"Independent, Nondenominational"
Deliverance Evangelistic Church,Philadelphia,PA,4000,Evangelical
Denton Bible Church,Denton,TX,5000,"Independent, Nondenominational"
Desert Chapel,Palm Springs,CA,3500,"Independent, Nondenominational"
Desert Vineyard Christian Fellowship,Lancaster,CA,5000,Vineyard
Destiny Center Church,Rio Rancho,NM,1800,"Independent, Nondenominational"
Destiny Christian Center,Greensboro,NC,2100,"Independent, Nondenominational"
Destiny Church,Indio,CA,2593,"Independent, Nondenominational"
Destiny Church,Broken Arrow,OK,1800,"Independent, Nondenominational"
Destiny Metropolitan Worship Church,Atlanta,GA,3600,"Independent, Nondenominational"
Detroit World Outreach Center,Redford,MI,2000,"Independent, Nondenominational"
DFW New Beginnings Church,Irving,TX,3000,"Independent, Nondenominational"
Discovery Church,Orlando,FL,4500,"Independent, Nondenominational"
Divine Faith Ministries International,Duluth,GA,3300,"Independent, Nondenominational"
Door Creek Church,Madison,WI,2000,Evangelical Free
Dove Christian Fellowship Church,Ephrata,PA,2000,Unknown (unspecified)
Downtown Church of Christ,Searcy,AR,2000,Church of Christ
Dream City Church,Phoenix,AZ,20000,Assemblies of God
Eagle Brook Church,Centerville,MN,17091,Baptist General Conference
Eagle Christian Church,Eagle,ID,2364,CHRISTIAN
Eagle’s Landing First Baptist Church,Mc Donough,GA,2170,Southern Baptist Convention
East 91st Street Christian Church,Indianapolis,IN,3832,CHRISTIAN
East Bayou Baptist Church,Lafayette,LA,2250,Southern Baptist Convention
East Brent Baptist Church,Pensacola,FL,2500,Southern Baptist Convention
East Cooper Baptist Church,Mount Pleasant,SC,2166,Southern Baptist Convention
East Hill Foursquare Church,Gresham,OR,2800,Four Square
East Lake Community Church,Bothell,WA,4500,"Independent, Nondenominational"
Eastbrook Church,Milwaukee,WI,2000,"Independent, Nondenominational"
Eastern Hills Community Church,Centennial,CO,2000,Christian Reformed Church
Eastern Hills Wesleyan Church,Williamsville,NY,2500,Wesleyan
Eastern Star Church,Indianapolis,IN,3748,National Baptist Convention
EastLake Church,Chula Vista,CA,6280,"Independent, Nondenominational"
Eastridge Church,Issaquah,WA,1900,Assemblies of God
Eastside Christian Church,Anaheim,CA,4345,CHRISTIAN
Eastside Foursquare Church,Bothell,WA,2300,Four Square
Eastview Christian Church,Normal,IL,4730,CHRISTIAN
Ebenezer African Methodist Episcopal,Fort Washington,MD,7000,African Methodist Episcopal
Edmond’s First Baptist Church,Edmond,OK,2000,Southern Baptist Convention
Eglise Nouvelle Vie,Longueuil,PQ,3600,"Independent, Nondenominational"
El Centro Cristiano Adonai,Corona,NY,1900,Unknown (unspecified)
Element Church,Wentzville,MO,2500,"Independent, Nondenominational"
Elevate Life Church,Frisco,TX,4000,"Independent, Nondenominational"
Elevation Baptist Church,Raleigh,NC,2000,Baptist (unspecified)
Elevation Church,Matthews,NC,26000,"Independent, Nondenominational"
Elim International Fellowship,Brooklyn,NY,2200,Unknown (unspecified)
Elizabeth Baptist Church,Atlanta,GA,6733,Southern Baptist Convention
Elmbrook Church,Brookfield,WI,7013,"Independent, Nondenominational"
Emmanuel Baptist Church,Brooklyn,NY,2200,American Baptist
Emmanuel Christian Center,Minneapolis,MN,3500,Assemblies of God
Emmanuel Church of Greenwood,Greenwood,IN,2500,Baptist (unspecified)
Emmanuel Faith Community Church,Escondido,CA,6500,"Independent, Nondenominational"
Empowerment Temple,Baltimore,MD,7000,Unknown (unspecified)
Englewood Baptist Church,Jackson,TN,2500,Southern Baptist Convention
Enon Tabernacle Baptist Church,Philadelphia,PA,4150,Baptist (unspecified)
Epic Church International,Sayreville,NJ,10100,"Independent, Nondenominational"
Epicchurch.Tv,Decatur,AL,2081,"Independent, Nondenominational"
Ethos Church,Nasvhille,TN,2800,"Independent, Nondenominational"
Evangel Cathedral,Upper Marlboro,MD,4000,"Church of God, Cleveland"
Evangel Church,Scotch Plains,NJ,2117,Assemblies of God
Evangel Fellowship,Greensboro,NC,2000,Church of God in Christ
Evangel World Prayer Center,Louisville,KY,4800,Assemblies of God
Evangelical Free Church of Bloomington,Bloomington,IL,2500,Evangelical Free
Evangelical Free Church of Hershey,Hummelstown,PA,2000,Evangelical Free
Evergreen Community Church,Bloomington,MN,2300,Unknown (unspecified)
Experience Life,Lubbock,TX,3751,"Independent, Nondenominational"
Fair Haven Ministries,Hudsonville,MI,2000,Reformed Church in America
Fairfax Community Church,Fairfax,VA,2500,Unknown (unspecified)
Fairfield Baptist Church,Lithonia,GA,2000,Baptist (unspecified)
Fairfield Christian Church,Lancaster,OH,2000,"Independent, Nondenominational"
Fairhaven Church,Centerville,OH,3500,Christian & Missionary Alliance
Faith Assembly of God,Summerville,SC,2305,Assemblies of God
Faith Assembly of God,Orlando,FL,4000,Assemblies of God
Faith Baptist,Bartlett,TN,2500,Southern Baptist Convention
Faith Baptist Church of Waterford,Waterford,MI,5600,Baptist (unspecified)
Faith Bible Chapel,Arvada,CO,5000,"Independent, Nondenominational"
Faith Chapel,Billings,MT,4500,Four Square
Faith Chapel Christian Center,Birmingham,AL,3000,Unknown (unspecified)
Faith Christian Center,Jacksonville,FL,2200,Unknown (unspecified)
Faith Christian Center,Smyrna,GA,2700,"Independent, Nondenominational"
Faith Christian Family Church,Clovis,NM,2000,"Independent, Nondenominational"
Faith Church,Dyer,IN,3500,Reformed Church in America
Faith Church,New Milford,CT,2000,"Independent, Nondenominational"
Faith Church of St. Louis,Fenton,MO,4000,"Independent, Nondenominational"
Faith Community Church,Tucson,AZ,2500,"Independent, Nondenominational"
Faith Community Church,West Covina,CA,10000,"Independent, Nondenominational"
Faith Deliverance Christian Center,Norfolk,VA,2000,Church of Christ
Faith Evangelical Free Church,Fort Collins,CO,2000,Evangelical Free
Faith Evangelical Free Church,Spirit Lake,IA,2500,Evangelical Free
Faith Family Church,Canton,OH,3000,"Independent, Nondenominational"
Faith Family Church,Victoria,TX,3000,Unknown (unspecified)
Faith Fellowship Foursquare Church,San Leandro,CA,2000,Four Square
Faith Fellowship Ministries World Outreach Center,Sayreville,NJ,10100,"Independent, Nondenominational"
Faith Landmarks Ministries,Richmond,VA,5000,Unknown (unspecified)
Faith Living Christian Center,Pennsauken,NJ,2300,"Independent, Nondenominational"
Faith Lutheran Church,Troy,MI,2000,Lutheran (unspecified)
Faith Promise Church,Knoxville,TN,4300,"Independent, Nondenominational"
Faith Tabernacle,Oklahoma City,OK,2000,Assemblies of God
Faith! Christian Church,Waverly Gardens,VIC,1900,Unknown (unspecified)
Faithbridge Church,Spring,TX,2200,United Methodist Church
Faithful Central Bible Church,Inglewood,CA,8000,Unknown (unspecified)
Faithworld,Orlando,FL,5000,"Independent, Nondenominational"
Fallbrook Church,Houston,TX,4000,Unknown (unspecified)
Family Christian Center,Munster,IN,15540,"Independent, Nondenominational"
Family Church,Pine Bluff,AR,2000,"Independent, Nondenominational"
Family Community Church,San Jose,CA,3365,Assemblies of God
Family Harvest Church,Tinley Park,IL,2500,"Independent, Nondenominational"
Family Worship Center,Lakeland,FL,2600,Pentecostal (unspecified)
Family Worship Center,Baton Rouge,LA,4000,Unknown (unspecified)
Far Hills Community Church,Dayton,OH,2000,Southern Baptist Convention
Fellowship Alliance Chapel,Medford,NJ,2500,Christian & Missionary Alliance
Fellowship Bible Church,Little Rock,AR,4000,"Independent, Nondenominational"
Fellowship Bible Church,Roswell,GA,3500,Unknown (unspecified)
Fellowship Bible Church,Jackson,TN,3750,Unknown (unspecified)
Fellowship Bible Church,Benton,AR,6000,"Independent, Nondenominational"
Fellowship Bible Church Nashville,Brentwood,TN,2400,"Independent, Nondenominational"
Fellowship Church,Grapevine,TX,24162,Southern Baptist Convention
Fellowship Evangelical Free Church,Knoxville,TN,2600,Evangelical Free
Fellowship Missionary Baptist Church,Chicago,IL,3100,Baptist (unspecified)
Fellowship Missionary Church,Fort Wayne,IN,2300,Unknown (unspecified)
Fellowship Northwest Arkansas,Rogers,AR,7100,Unknown (unspecified)
Fellowship of the Parks,Keller,TX,2722,Unknown (unspecified)
Fielder Road Baptist Church,Arlington,TX,2001,Southern Baptist Convention
First African Methodist Episcopal Church,Los Angeles,CA,7600,African Methodist Episcopal
First Alliance Church,Calgary,AB,3000,Christian & Missionary Alliance
First Assembly,Fort Wayne,IN,1800,Assemblies of God
First Assembly Cedar Rapids,Cedar Rapids,IA,2100,Assemblies of God
First Assembly of God,Honolulu,HI,2400,Assemblies of God
First Assembly of God,North Little Rock,AR,3270,Assemblies of God
First Assembly of God,Winston-Salem,NC,3300,Assemblies of God
First Assembly of God,Fort Myers,FL,7426,Assemblies of God
First Assembly of God,Griffin,GA,7780,Assemblies of God
First Baptist Church,Brandon,MS,1900,Southern Baptist Convention
First Baptist Church,Hammond,IN,13426,Baptist (unspecified)
First Baptist Church,Belton,TX,2000,Southern Baptist Convention
First Baptist Church,Sevierville,TN,2200,Southern Baptist Convention
First Baptist Church,Decatur,GA,2700,Southern Baptist Convention
First Baptist Church,Covington,LA,1800,Southern Baptist Convention
First Baptist Church,Daytona Beach,FL,1900,Southern Baptist Convention
First Baptist Church,Jonesboro,AR,3000,Southern Baptist Convention
First Baptist Church,Midland,TX,2000,Southern Baptist Convention
First Baptist Church,Oklahoma City,OK,2000,Southern Baptist Convention
First Baptist Church,Panama City,FL,2000,Southern Baptist Convention
First Baptist Church,Wichita Falls,TX,2000,Southern Baptist Convention
First Baptist Church,Bossier City,LA,2100,Southern Baptist Convention
First Baptist Church,Broken Arrow,OK,2100,Southern Baptist Convention
First Baptist Church,Bentonville,AR,2200,Southern Baptist Convention
First Baptist Church,Fort Lauderdale,FL,2200,Southern Baptist Convention
First Baptist Church,Arlington,TX,2292,Southern Baptist Convention
First Baptist Church,Arnold,MO,2385,Southern Baptist Convention
First Baptist Church,Clarksville,TN,2500,Southern Baptist Convention
First Baptist Church,Jackson,MS,2500,Southern Baptist Convention
First Baptist Church,Millington,TN,2500,Southern Baptist Convention
First Baptist Church,Montgomery,AL,2500,Southern Baptist Convention
First Baptist Church,Prattville,AL,2500,Southern Baptist Convention
First Baptist Church,Indian Trail,NC,2537,Southern Baptist Convention
First Baptist Church,Dallas,TX,2632,Southern Baptist Convention
First Baptist Church,Hendersonville,TN,2653,Southern Baptist Convention
First Baptist Church,Brandon,FL,2750,Southern Baptist Convention
First Baptist Church,Tuscaloosa,AL,3000,Southern Baptist Convention
First Baptist Church,Plant City,FL,3000,Southern Baptist Convention
First Baptist Church,Spartanburg,SC,3200,Southern Baptist Convention
First Baptist Church,Pasadena,TX,3250,Southern Baptist Convention
First Baptist Church,Columbia,SC,3500,Southern Baptist Convention
First Baptist Church,Naples,FL,3523,Southern Baptist Convention
First Baptist Church,Jacksonville,FL,4300,Southern Baptist Convention
First Baptist Church,Atlanta,GA,4931,Southern Baptist Convention
First Baptist Church Altus,Altus,OK,2000,Southern Baptist Convention
First Baptist Church Amarillo,Amarillo,TX,2050,Southern Baptist Convention
First Baptist Church at the Mall,Lakeland,FL,3200,Southern Baptist Convention
First Baptist Church Eugene,Eugene,OR,3000,CBA
First Baptist Church Euless,Euless,TX,2435,Southern Baptist Convention
First Baptist Church Jonesboro,Jonesboro,GA,2000,Southern Baptist Convention
First Baptist Church McKinney,McKinney,TX,2301,Southern Baptist Convention
First Baptist Church of Central Florida,Orlando,FL,4000,Southern Baptist Convention
First Baptist Church of Elk Grove,Elk Grove,CA,3300,American Baptist
First Baptist Church of Glenarden,Landover,MD,12000,Baptist General Conference
First Baptist Church of Guilford,Colombia,MD,2000,Southern Baptist Convention
First Baptist Church of Hamilton Park,Richardson,TX,3000,Baptist (unspecified)
First Baptist Church of Indian Rocks,Largo,FL,2908,Southern Baptist Convention
First Baptist Church of Lincoln Gardens,Somerset,NJ,6000,Baptist (unspecified)
First Baptist Church of Lubbock,Lubbock,TX,2000,Southern Baptist Convention
First Baptist Church of Mandarin,Jacksonville,FL,2000,Southern Baptist Convention
First Baptist Church of Melbourne,Melbourne,FL,2500,Southern Baptist Convention
First Baptist Church of Orlando,Orlando,FL,5587,Southern Baptist Convention
First Baptist Church of Oviedo,Oviedo,FL,2461,Southern Baptist Convention
First Baptist Church of Richardson,Richardson,TX,2400,Southern Baptist Convention
First Baptist Church Opelika,Opelika,AL,2443,Southern Baptist Convention
First Baptist Church Simpsonville,Simpsonville,SC,2081,Southern Baptist Convention
First Baptist Church Snellville,Snellville,GA,4000,Southern Baptist Convention
First Baptist Church Woodstock,Woodstock,GA,6115,Southern Baptist Convention
First Baptist Cleveland,Cleveland,TN,2400,Southern Baptist Convention
First Baptist Concord,Knoxville,TN,2860,Southern Baptist Convention
First Baptist Lafayette,Lafayette,LA,4000,Southern Baptist Convention
First Baptist Norfolk,Norfolk,VA,2462,Southern Baptist Convention
First Baptist North Spartanburg,Spartanburg,SC,2600,Southern Baptist Convention
First Baptist of Jacksonville,Jacksonville,NC,2200,Baptist (unspecified)
First Baptist Raytown,Raytown,MO,2000,Southern Baptist Convention
First Baptist West Monroe,West Monroe,LA,2402,Southern Baptist Convention
First Cathedral,Bloomfield,CT,3500,Baptist (unspecified)
First Chinese Baptist Church,Los Angeles,CA,2200,Baptist (unspecified)
First Christian Church,Springfield,OH,2074,CHRISTIAN
First Christian Church,Huntington Beach,CA,2860,CHRISTIAN
First Church of Christ,Burlington,KY,2506,CHRISTIAN
First Church of God,Columbus,OH,4000,"Church of God, Cleveland"
First Church of the Nazarene,Pasadena,CA,2184,Church of the Nazarene
First Covenant Church,Sacramento,CA,2000,Unknown (unspecified)
First Evangelical Free Church,Austin,TX,2500,Evangelical Free
First Evangelical Free Church of Fullerton,Fullerton,CA,4500,Evangelical Free
First Mount Olive Freewill Baptist Church,Randallstown,MD,2500,Baptist (unspecified)
First Mount Zion Baptist Church,Dumfries,VA,3400,Baptist (unspecified)
First Presbyterian Church,Spokane,WA,2500,Presbyterian Church of America
First Presbyterian Church,Colorado Springs,CO,2495,"Presbyterian Church, U.S.A."
First Presbyterian Church of Bellevue,Bellevue,WA,2203,"Presbyterian Church, U.S.A."
First Presbyterian Church of Orlando,Orlando,FL,2400,"Presbyterian Church, U.S.A."
First Redeemer Church,Cumming,GA,3200,Southern Baptist Convention
First United Methodist Church,Niceville,FL,2030,United Methodist Church
First United Methodist Church,Mansfield,TX,2039,United Methodist Church
First United Methodist Church Richardson,Richardson,TX,2183,United Methodist Church
First Wesleyan Church,Battle Creek,MI,2600,Wesleyan
Flatirons Community Church,Lafayette,CO,15495,Evangelical
Flood Church,San Diego,CA,2200,Unknown (unspecified)
Foothills Bible Church,Littleton,CO,2000,"Independent, Nondenominational"
Foothills Christian Fellowship,El Cajon,CA,2500,"Independent, Nondenominational"
Forerunner Christian Fellowship,Kansas City,MO,2000,"Independent, Nondenominational"
Forest Hill Church,Charlotte,NC,3000,Evangelical Presbyterian Church
Forest Hills Baptist Church,Nashville,TN,2000,Southern Baptist Convention
Fourth Presbyterian Church,Bethesda,MD,1800,Evangelical Presbyterian Church
Fox River Christian Church,Waukesha,WI,2400,Unknown (unspecified)
Franklin Avenue Baptist Church,New Orleans,LA,4000,Southern Baptist Convention
Frazer United Methodist Church,Montgomery,AL,3704,United Methodist Church
Free Chapel Worship Center,Gainesville,GA,13568,"Independent, Nondenominational"
Freedom Temple Ministries,Rockhill,SC,2200,"Independent, Nondenominational"
Friendly Temple Missionary Baptist Church,Saint Louis,MO,3500,Baptist (unspecified)
Friendship Missionary Baptist Church,Charlotte,NC,2700,Baptist (unspecified)
Friendship West Baptist Church,Dallas,TX,9000,American Baptist
From the Heart Church Ministries,Temple Hills,MD,7000,"Independent, Nondenominational"
Full Gospel Tabernacle Church,Orchard Park,NY,2200,CHRISTIAN
Gardendale First Baptist Church,Gardendale,AL,3530,Southern Baptist Convention
Gateway Church,Southlake,TX,28000,"Independent, Nondenominational"
Gateway Community Church,Austin,TX,4500,Unknown (unspecified)
Gateway Fellowship,Poulsbo,WA,2000,Assemblies of God
Generations Christian Church,Trinity,FL,2252,CHRISTIAN
Germantown Baptist Church,Germantown,TN,2000,Southern Baptist Convention
Geyer Springs First Baptist Church,Little Rock,AR,2500,Southern Baptist Convention
Ginghamsburg United Methodist Church,Tipp City,OH,4600,United Methodist Church
Glad Tidings Assembly of God,Lake Charles,LA,2689,Assemblies of God
Glad Tidings Church,Reading,PA,2689,Assemblies of God
Glenview Baptist Church,Fort Worth,TX,2300,Southern Baptist Convention
Glide Memorial United Methodist Church,San Francisco,CA,3000,United Methodist Church
Global Mission Church of Greater Washington,Silver Spring,MD,3000,Southern Baptist Convention
Globe Harvest Church,Dallas,TX,2260,Southern Baptist Convention
Gloucester County Community Church,Sewell,NJ,2500,"Independent, Nondenominational"
Gold Creek Community Church,Mill Creek,WA,2389,CHRISTIAN
Golden Gate Cathedral,Memphis,TN,4500,"Independent, Nondenominational"
Golden Hills Community Church,Brentwood,CA,4000,Baptist General Conference
Good Shepherd Community Church,Boring,OR,2300,"Independent, Nondenominational"
Gospel Light Baptist Church,Walkertown,NC,2000,Baptist (unspecified)
Gospel Tabernacle Church,Dallas,TX,3500,"Independent, Nondenominational"
Gospel Tabernacle East,Stone Mountain,GA,2000,"Independent, Nondenominational"
Grace Baptist Church,Santa Clarita,CA,2300,Baptist General Conference
Grace Baptist Church,Knoxville,TN,2783,Southern Baptist Convention
Grace Bible Church,College Station,TX,2500,"Independent, Nondenominational"
Grace Brethren Church,Long Beach,CA,2000,Brethren
Grace Brethren Church of Columbus,Westerville,OH,2500,Brethren
Grace Cathedral Ministries,Greenville,SC,2000,Unknown (unspecified)
Grace Chapel,Lexington,MA,3000,"Independent, Nondenominational"
Grace Chapel,Franklin,TN,3500,Calvary Churches
Grace Christian Center,Killeen,TX,2000,"Independent, Nondenominational"
Grace Christian Church,Sterling Heights,MI,2000,CHRISTIAN
Grace Church,Maryland Heights,MO,3800,"Independent, Nondenominational"
Grace Church,Reno,NV,2500,"Independent, Nondenominational"
Grace Church,Greenville,SC,4000,"Independent, Nondenominational"
Grace Church,Eden Prairie,MN,5500,"Independent, Nondenominational"
Grace Church,Cape Coral,FL,2750,United Methodist Church
Grace Church,Middleburg Heights,OH,1800,Christian & Missionary Alliance
Grace Church,Norton,OH,4000,Unknown (unspecified)
Grace Church,Dumfries,VA,2000,"Independent, Nondenominational"
Grace Church,Broken Arrow,OK,1800,"Independent, Nondenominational"
Grace Community Church,Washingtonville,NY,2293,Baptist General Conference
Grace Community Church,Clarksville,TN,2150,Unknown (unspecified)
Grace Community Church,Auburn,WA,2000,CBA
Grace Community Church,Tempe,AZ,1800,"Independent, Nondenominational"
Grace Community Church,Fulton,MD,2700,"Independent, Nondenominational"
Grace Community Church,Reno,NV,2800,"Independent, Nondenominational"
Grace Community Church,Sun Valley,CA,8000,"Independent, Nondenominational"
Grace Community Church,Plano,TX,1850,Unknown (unspecified)
Grace Community Church,Tyler,TX,2450,Unknown (unspecified)
Grace Community Church,Houston,TX,5000,Unknown (unspecified)
Grace Community Church,Noblesville,IN,5000,Evangelical Free
Grace Covenant Church,Cornelius,NC,2600,Four Square
Grace Covenant Church,Austin,TX,3500,"Independent, Nondenominational"
Grace Family Church,Lutz,FL,6187,Unknown (unspecified)
Grace Fellowship,West Palm Beach,FL,4000,Unknown (unspecified)
Grace Fellowship Church,Johnson City,TN,2000,"Independent, Nondenominational"
Grace Fellowship Church,Timonium,MD,3000,"Independent, Nondenominational"
Grace Fellowship Church,Latham,NY,3400,"Independent, Nondenominational"
Grace Fellowship Church,Snellville,GA,4000,"Independent, Nondenominational"
Grace Fellowship United Methodist Church,Katy,TX,2442,United Methodist Church
Grace Korean Church,Fullerton,CA,4000,Unknown (unspecified)
Grace Outreach Center,Plano,TX,4300,"Independent, Nondenominational"
Gracepointe Church,Naperville,IL,2000,"Independent, Nondenominational"
Grand Rapids First Assembly of God,Grand Rapids,MI,2400,Assemblies of God
Granger Community Church,Granger,IN,5169,United Methodist Church
Great Commission Baptist Church,Fort Worth,TX,2000,Southern Baptist Convention
Great Hills Baptist Church,Austin,TX,2200,Southern Baptist Convention
Greater Centennial A.M.E. Zion Church,Mount Vernon,NY,2100,African Methodist Episcopal
Greater Cornerstone Baptist Church,Dallas,TX,4250,Southern Baptist Convention
Greater Grace Church,Baltimore,MD,2000,"Independent, Nondenominational"
Greater Grace Temple,Detroit,MI,8000,Unknown (unspecified)
Greater Mount Zion Baptist Church,Austin,TX,1800,Baptist (unspecified)
Greater Mt. Calvary Holy Church,Washington,DC,3500,Pentecostal (unspecified)
Greater Piney Grove Baptist Church,Atlanta,GA,4000,Baptist (unspecified)
Greater Saint Matthew Church,Houston,TX,3400,Southern Baptist Convention
Greater Saint Paul Baptist Church,Oakland,CA,5300,National Baptist Convention
Greater Saint Stephen Full Gospel Baptist,New Orleans,LA,10000,Baptist (unspecified)
Greater Shiloh Church,Easton,PA,2300,Baptist (unspecified)
Greater Travelers Rest Baptist Church,Decatur,GA,3000,Baptist (unspecified)
Green Acres Baptist Church,Tyler,TX,4537,Southern Baptist Convention
Greenforest Community Baptist Church,Decatur,GA,2300,Southern Baptist Convention
Greenwood Community Church,Greenwood Village,CO,2200,Evangelical Presbyterian Church
Grove Church,Portsmouth,VA,2363,Baptist (unspecified)
Grove City Church of the Nazarene,Grove City,OH,3446,Church of the Nazarene
Gulf Breeze United Methodist Church,Gulf Breeze,FL,2324,United Methodist Church
Guts Church,Tulsa,OK,4000,"Independent, Nondenominational"
Hales Corners Lutheran Church,Hales Corners,WI,3000,Lutheran (unspecified)
Harrisburg Baptist Church,Tupelo,MS,2000,Baptist (unspecified)
Hartford Memorial Baptist Church,Detroit,MI,5000,Baptist (unspecified)
Harvest Bible Chapel,Naperville,IL,2500,"Independent, Nondenominational"
Harvest Bible Chapel,Rolling Meadows,IL,13916,CHRISTIAN
Harvest Bible Chapel,Davenport,IA,2100,CHRISTIAN
Harvest Christian Fellowship,Riverside,CA,14560,"Independent, Nondenominational"
Harvest Church,Elk Grove,CA,2200,Assemblies of God
Harvest Church,Fort Worth,TX,1800,Baptist (unspecified)
Harvest Church,Billings,MT,2500,Evangelical
Harvest Church,Byron,GA,2109,United Methodist Church
Harvest Church of God,Anniston,AL,2000,"Church of God, Cleveland"
Harvest Life Changers World Ministries,Woodbridge,VA,2000,"Independent, Nondenominational"
Harvest Time,Fort Smith,AR,2200,"Independent, Nondenominational"
Harvest Time Church,Houston,TX,2000,"Independent, Nondenominational"
Harvester Christian Church,Saint Charles,MO,3286,CHRISTIAN
Hawthorne Gospel Church,Hawthorne,NJ,2200,"Independent, Nondenominational"
Healing Place Church,Baton Rouge,LA,7200,"Independent, Nondenominational"
Healing Word,Tustin,CA,3500,"Independent, Nondenominational"
Heart Revolution Church,National City,CA,1800,"Independent, Nondenominational"
Heartland Church,Indianapolis,IN,2000,"Independent, Nondenominational"
Heartland Community Church,Olathe,KS,2000,Evangelical Presbyterian Church
Heartland Community Church,Rockford,IL,7274,Unknown (unspecified)
Heartland Worship Center,Paducah,KY,1800,Unknown (unspecified)
Hebron Baptist Church,Dacula,GA,4266,Southern Baptist Convention
Henderson Hills Baptist Church,Edmond,OK,2500,Southern Baptist Convention
Heritage Christian Church,Westerville,OH,2700,CHRISTIAN
Heritage Church,Rock Island,IL,2600,Wesleyan
Hickory Grove Baptist Church,Charlotte,NC,4539,Southern Baptist Convention
